student_id,gender,department,semester,internal_marks,external_marks, total_marks, percentage,cgpa,grade,result
1,Male,CSE,1,15,36,51,51,5.1,C,Pass
2,Female,IT,2,13,32,45,45,4.5,C,Pass
3,Male,ECE,3,13,55,68,68,6.8,B,Pass
4,Female,ME,4,15,49,64,64,6.4,B,Pass
5,Male,CE,5,29,45,74,74,7.4,B+,Pass
6,Female,CSE,6,12,26,38,38,3.8,C,Fail
7,Male,IT,7,13,33,46,46,4.6,C,Pass
8,Female,ECE,8,19,52,71,71,7.1,B+,Pass
9,Male,ME,9,27,52,79,79,7.9,B+,Pass
10,Female,CE,10,12,66,78,78,7.8,B+,Pass
11,Male,CSE,11,29,60,89,89,8.9,A,Pass
12,Female,IT,12,14,58,72,72,7.2,B+,Pass
13,Male,ECE,13,15,34,49,49,4.9,C,Pass
14,Female,ME,14,23,47,70,70,7,B+,Pass
15,Male,CE,15,21,41,62,62,6.2,B,Pass
16,Female,CSE,16,25,31,56,56,5.6,C,Pass
17,Male,IT,17,19,39,58,58,5.8,C,Pass
18,Female,ECE,18,25,36,61,61,6.1,B,Pass
19,Male,ME,19,26,34,60,60,6,B,Pass
20,Female,CE,20,24,57,81,81,8.1,A,Pass
21,Male,CSE,21,27,39,66,66,6.6,B,Pass
22,Female,IT,22,23,33,56,56,5.6,C,Pass
23,Male,ECE,23,17,51,68,68,6.8,B,Pass
24,Female,ME,24,11,63,74,74,7.4,B+,Pass
25,Male,CE,25,21,37,58,58,5.8,C,Pass
26,Female,CSE,26,23,49,72,72,7.2,B+,Pass
27,Male,IT,27,21,62,83,83,8.3,A,Pass
28,Female,ECE,28,19,34,53,53,5.3,C,Pass
29,Male,ME,29,27,27,54,54,5.4,C,Pass
30,Female,CE,30,26,62,88,88,8.8,A,Pass
31,Male,CSE,31,27,39,66,66,6.6,B,Pass
32,Female,IT,32,26,51,77,77,7.7,B+,Pass
33,Male,ECE,33,21,51,72,72,7.2,B+,Pass
34,Female,ME,34,27,34,61,61,6.1,B,Pass
35,Male,CE,35,10,27,37,37,3.7,C,Fail
36,Female,CSE,36,10,25,35,35,3.5,C,Fail
37,Male,IT,37,13,51,64,64,6.4,B,Pass
38,Female,ECE,38,29,64,93,93,9.3,A+,Pass
39,Male,ME,39,17,32,49,49,4.9,C,Pass
40,Female,CE,40,13,28,41,41,4.1,C,Pass
41,Male,CSE,41,25,52,77,77,7.7,B+,Pass
42,Female,IT,42,25,58,83,83,8.3,A,Pass
43,Male,ECE,43,25,69,94,94,9.4,A+,Pass
44,Female,ME,44,13,30,43,43,4.3,C,Pass
45,Male,CE,45,20,50,70,70,7,B+,Pass
46,Female,CSE,46,18,27,45,45,4.5,C,Pass
47,Male,IT,47,21,69,90,90,9,A+,Pass
48,Female,ECE,48,28,29,57,57,5.7,C,Pass
49,Male,ME,49,14,37,51,51,5.1,C,Pass
50,Female,CE,50,17,29,46,46,4.6,C,Pass
51,Male,CSE,51,30,40,70,70,7,B+,Pass
52,Female,IT,52,15,62,77,77,7.7,B+,Pass
53,Male,ECE,53,11,48,59,59,5.9,C,Pass
54,Female,ME,54,13,52,65,65,6.5,B,Pass
55,Male,CE,55,14,28,42,42,4.2,C,Pass
56,Female,CSE,56,11,31,42,42,4.2,C,Pass
57,Male,IT,57,15,56,71,71,7.1,B+,Pass
58,Female,ECE,58,24,62,86,86,8.6,A,Pass
59,Male,ME,59,18,39,57,57,5.7,C,Pass
60,Female,CE,60,30,45,75,75,7.5,B+,Pass
61,Male,CSE,61,14,66,80,80,8,A,Pass
62,Female,IT,62,23,47,70,70,7,B+,Pass
63,Male,ECE,63,16,55,71,71,7.1,B+,Pass
64,Female,ME,64,27,48,75,75,7.5,B+,Pass
65,Male,CE,65,19,55,74,74,7.4,B+,Pass
66,Female,CSE,66,22,28,50,50,5,C,Pass
67,Male,IT,67,10,28,38,38,3.8,C,Fail
68,Female,ECE,68,25,66,91,91,9.1,A+,Pass
69,Male,ME,69,20,27,47,47,4.7,C,Pass
70,Female,CE,70,23,45,68,68,6.8,B,Pass
71,Male,CSE,71,28,60,88,88,8.8,A,Pass
72,Female,IT,72,19,35,54,54,5.4,C,Pass
73,Male,ECE,73,25,34,59,59,5.9,C,Pass
74,Female,ME,74,23,68,91,91,9.1,A+,Pass
75,Male,CE,75,29,54,83,83,8.3,A,Pass
76,Female,CSE,76,10,47,57,57,5.7,C,Pass
77,Male,IT,77,28,62,90,90,9,A+,Pass
78,Female,ECE,78,16,64,80,80,8,A,Pass
79,Male,ME,79,26,70,96,96,9.6,A+,Pass
80,Female,CE,80,21,54,75,75,7.5,B+,Pass
81,Male,CSE,81,14,57,71,71,7.1,B+,Pass
82,Female,IT,82,11,55,66,66,6.6,B,Pass
83,Male,ECE,83,10,35,45,45,4.5,C,Pass
84,Female,ME,84,23,39,62,62,6.2,B,Pass
85,Male,CE,85,29,30,59,59,5.9,C,Pass
86,Female,CSE,86,27,39,66,66,6.6,B,Pass
87,Male,IT,87,15,49,64,64,6.4,B,Pass
88,Female,ECE,88,18,35,53,53,5.3,C,Pass
89,Male,ME,89,21,58,79,79,7.9,B+,Pass
90,Female,CE,90,23,25,48,48,4.8,C,Pass
91,Male,CSE,91,16,41,57,57,5.7,C,Pass
92,Female,IT,92,21,64,85,85,8.5,A,Pass
93,Male,ECE,93,25,70,95,95,9.5,A+,Pass
94,Female,ME,94,18,62,80,80,8,A,Pass
95,Male,CE,95,18,57,75,75,7.5,B+,Pass
96,Female,CSE,96,20,37,57,57,5.7,C,Pass
97,Male,IT,97,21,55,76,76,7.6,B+,Pass
98,Female,ECE,98,10,26,36,36,3.6,C,Fail
99,Male,ME,99,25,38,63,63,6.3,B,Pass
100,Female,CE,100,29,34,63,63,6.3,B,Pass
101,Male,CSE,101,10,69,79,79,7.9,B+,Pass
102,Female,IT,102,10,28,38,38,3.8,C,Fail
103,Male,ECE,103,29,52,81,81,8.1,A,Pass
104,Female,ME,104,30,43,73,73,7.3,B+,Pass
105,Male,CE,105,28,48,76,76,7.6,B+,Pass
106,Female,CSE,106,26,30,56,56,5.6,C,Pass
107,Male,IT,107,16,67,83,83,8.3,A,Pass
108,Female,ECE,108,11,43,54,54,5.4,C,Pass
109,Male,ME,109,30,60,90,90,9,A+,Pass
110,Female,CE,110,26,70,96,96,9.6,A+,Pass
111,Male,CSE,111,29,48,77,77,7.7,B+,Pass
112,Female,IT,112,26,66,92,92,9.2,A+,Pass
113,Male,ECE,113,20,48,68,68,6.8,B,Pass
114,Female,ME,114,30,47,77,77,7.7,B+,Pass
115,Male,CE,115,12,37,49,49,4.9,C,Pass
116,Female,CSE,116,27,33,60,60,6,B,Pass
117,Male,IT,117,21,56,77,77,7.7,B+,Pass
118,Female,ECE,118,15,36,51,51,5.1,C,Pass
119,Male,ME,119,24,61,85,85,8.5,A,Pass
120,Female,CE,120,19,43,62,62,6.2,B,Pass
121,Male,CSE,121,22,38,60,60,6,B,Pass
122,Female,IT,122,14,32,46,46,4.6,C,Pass
123,Male,ECE,123,18,60,78,78,7.8,B+,Pass
124,Female,ME,124,26,66,92,92,9.2,A+,Pass
125,Male,CE,125,19,70,89,89,8.9,A,Pass
126,Female,CSE,126,10,47,57,57,5.7,C,Pass
127,Male,IT,127,24,29,53,53,5.3,C,Pass
128,Female,ECE,128,28,48,76,76,7.6,B+,Pass
129,Male,ME,129,25,55,80,80,8,A,Pass
130,Female,CE,130,21,62,83,83,8.3,A,Pass
131,Male,CSE,131,30,56,86,86,8.6,A,Pass
132,Female,IT,132,17,66,83,83,8.3,A,Pass
133,Male,ECE,133,15,37,52,52,5.2,C,Pass
134,Female,ME,134,27,43,70,70,7,B+,Pass
135,Male,CE,135,16,36,52,52,5.2,C,Pass
136,Female,CSE,136,29,52,81,81,8.1,A,Pass
137,Male,IT,137,29,55,84,84,8.4,A,Pass
138,Female,ECE,138,21,30,51,51,5.1,C,Pass
139,Male,ME,139,25,51,76,76,7.6,B+,Pass
140,Female,CE,140,14,27,41,41,4.1,C,Pass
141,Male,CSE,141,27,27,54,54,5.4,C,Pass
142,Female,IT,142,14,49,63,63,6.3,B,Pass
143,Male,ECE,143,18,48,66,66,6.6,B,Pass
144,Female,ME,144,28,27,55,55,5.5,C,Pass
145,Male,CE,145,20,45,65,65,6.5,B,Pass
146,Female,CSE,146,28,30,58,58,5.8,C,Pass
147,Male,IT,147,23,40,63,63,6.3,B,Pass
148,Female,ECE,148,26,47,73,73,7.3,B+,Pass
149,Male,ME,149,25,63,88,88,8.8,A,Pass
150,Female,CE,150,29,41,70,70,7,B+,Pass
151,Male,CSE,151,11,30,41,41,4.1,C,Pass
152,Female,IT,152,16,55,71,71,7.1,B+,Pass
153,Male,ECE,153,13,41,54,54,5.4,C,Pass
154,Female,ME,154,23,32,55,55,5.5,C,Pass
155,Male,CE,155,30,37,67,67,6.7,B,Pass
156,Female,CSE,156,22,47,69,69,6.9,B,Pass
157,Male,IT,157,14,28,42,42,4.2,C,Pass
158,Female,ECE,158,19,30,49,49,4.9,C,Pass
159,Male,ME,159,10,54,64,64,6.4,B,Pass
160,Female,CE,160,15,64,79,79,7.9,B+,Pass
161,Male,CSE,161,17,37,54,54,5.4,C,Pass
162,Female,IT,162,19,53,72,72,7.2,B+,Pass
163,Male,ECE,163,20,69,89,89,8.9,A,Pass
164,Female,ME,164,24,30,54,54,5.4,C,Pass
165,Male,CE,165,29,61,90,90,9,A+,Pass
166,Female,CSE,166,26,64,90,90,9,A+,Pass
167,Male,IT,167,25,43,68,68,6.8,B,Pass
168,Female,ECE,168,29,59,88,88,8.8,A,Pass
169,Male,ME,169,12,59,71,71,7.1,B+,Pass
170,Female,CE,170,26,41,67,67,6.7,B,Pass
171,Male,CSE,171,15,57,72,72,7.2,B+,Pass
172,Female,IT,172,28,28,56,56,5.6,C,Pass
173,Male,ECE,173,21,56,77,77,7.7,B+,Pass
174,Female,ME,174,29,50,79,79,7.9,B+,Pass
175,Male,CE,175,25,36,61,61,6.1,B,Pass
176,Female,CSE,176,20,61,81,81,8.1,A,Pass
177,Male,IT,177,14,48,62,62,6.2,B,Pass
178,Female,ECE,178,22,61,83,83,8.3,A,Pass
179,Male,ME,179,12,43,55,55,5.5,C,Pass
180,Female,CE,180,21,48,69,69,6.9,B,Pass
181,Male,CSE,181,15,40,55,55,5.5,C,Pass
182,Female,IT,182,16,62,78,78,7.8,B+,Pass
183,Male,ECE,183,16,40,56,56,5.6,C,Pass
184,Female,ME,184,16,55,71,71,7.1,B+,Pass
185,Male,CE,185,26,40,66,66,6.6,B,Pass
186,Female,CSE,186,25,34,59,59,5.9,C,Pass
187,Male,IT,187,14,50,64,64,6.4,B,Pass
188,Female,ECE,188,23,27,50,50,5,C,Pass
189,Male,ME,189,18,40,58,58,5.8,C,Pass
190,Female,CE,190,12,58,70,70,7,B+,Pass
191,Male,CSE,191,14,44,58,58,5.8,C,Pass
192,Female,IT,192,29,44,73,73,7.3,B+,Pass
193,Male,ECE,193,27,64,91,91,9.1,A+,Pass
194,Female,ME,194,22,25,47,47,4.7,C,Pass
195,Male,CE,195,14,43,57,57,5.7,C,Pass
196,Female,CSE,196,22,67,89,89,8.9,A,Pass
197,Male,IT,197,12,64,76,76,7.6,B+,Pass
198,Female,ECE,198,18,64,82,82,8.2,A,Pass
199,Male,ME,199,24,35,59,59,5.9,C,Pass
